Grudger, Limited Retaliate (0.08/15), Fool Me Once, Retaliate (0.08), Limited Retaliate (0.05/20), Limited Retaliate (0.1/20), Retaliate (0.1), Forgetful Grudger, Forgiver, Retaliate (0.05), Appeaser, Win-Stay Lose-Shift, Forgetful Fool Me Once, Inverse Punisher, Punisher, Once Bitten, Two Tits For Tat, Go By Majority/5, Tit For Tat, Forgiving Tit For Tat, Grumpy, Go By Majority/20, Go By Majority/40, Go By Majority/10, Go By Majority, Tit For 2 Tats, Inverse, Average Copier, Cooperator, Alternator, e, Pi, Generous Tit-For-Tat, Golden, Opposite Grudger, Stochastic WSLS, Arrogant QLearner, Cautious QLearner, Risky QLearner, Tricky Defector, Suspicious Tit For Tat, Hesitant QLearner, Random, Tricky Cooperator, Defector
17015, 16965, 16766, 16790, 16637, 17003, 17078, 16833, 17248, 17738, 18008, 18102, 17767, 18155, 18680, 18513, 18956, 19388, 19095, 19668, 19598, 19816, 19866, 20287, 19968, 20276, 20257, 21611, 22877, 23273, 23411, 23642, 23949, 24192, 24699, 24440, 24615, 25370, 25558, 25177, 25240, 24764, 25651, 25844, 27376
17005, 17014, 16810, 17338, 17105, 17514, 17465, 17255, 17718, 17678, 17421, 17953, 17970, 17882, 18323, 18533, 18536, 19374, 19205, 19525, 19608, 19798, 19774, 20277, 19896, 20280, 20009, 22875, 22907, 23164, 23373, 23600, 24256, 24329, 24584, 24886, 24877, 24839, 24892, 25005, 25209, 25148, 25941, 25921, 27432
17027, 16604, 16794, 16988, 17050, 17000, 17317, 16961, 17171, 17509, 17441, 17387, 17992, 17711, 18372, 18655, 18488, 19323, 19594, 19151, 19799, 19811, 19792, 19909, 20485, 20312, 20591, 20912, 22907, 23295, 23247, 23777, 24108, 24193, 24714, 24573, 24767, 25584, 24982, 25085, 25081, 25931, 25143, 25874, 27412
16432, 16512, 16758, 16608, 16680, 17452, 17305, 17314, 17379, 17790, 17995, 17426, 17717, 17767, 18060, 18519, 18955, 19381, 19075, 19454, 19753, 19787, 20166, 19928, 19781, 20184, 19881, 20122, 22814, 23141, 23585, 23609, 24142, 24160, 24610, 24943, 25135, 24813, 24944, 25234, 25153, 25342, 25706, 26026, 27376
16534, 16562, 16823, 17094, 16756, 17142, 17063, 17436, 17627, 17856, 17933, 17680, 17703, 17923, 18387, 18757, 18568, 19411, 19169, 19179, 19916, 19796, 20243, 19902, 20426, 20353, 20332, 20592, 22694, 23386, 23433, 23654, 24335, 24276, 24654, 24352, 25418, 25449, 24988, 25136, 25010, 25182, 25656, 26073, 27452
16550, 16501, 16959, 17119, 17017, 17397, 17518, 17820, 17306, 17437, 18026, 17571, 17649, 17596, 17941, 18738, 18490, 19408, 19537, 19549, 19714, 19830, 19907, 19895, 20105, 20326, 20344, 19520, 22961, 23290, 23247, 23712, 24120, 24223, 25032, 24162, 25784, 24624, 24743, 25220, 24992, 25033, 25544, 26127, 27396
16520, 17054, 16854, 16758, 17066, 16903, 17040, 17430, 17572, 17462, 17963, 17640, 18132, 18237, 17809, 18590, 18895, 19410, 19598, 19673, 19459, 20244, 19948, 19900, 19813, 20219, 19797, 20799, 22847, 23208, 23275, 23582, 23513, 24222, 24678, 25608, 24853, 25452, 24872, 24922, 25017, 25306, 26105, 26066, 27444
16624, 16914, 16792, 17042, 16671, 17014, 17412, 16928, 17647, 17513, 17389, 17805, 17678, 18087, 17920, 18628, 18551, 19786, 19590, 19091, 19868, 19806, 20152, 20281, 20460, 20264, 20691, 22429, 22859, 23194, 23381, 23530, 24076, 24312, 24552, 25578, 24546, 25144, 25330, 25167, 25061, 25523, 24855, 25890, 27468
16544, 16675, 16743, 17155, 17078, 17290, 17377, 16967, 17401, 17922, 17518, 17509, 18008, 17731, 18458, 18480, 18532, 19421, 19569, 19105, 19616, 19790, 20331, 20266, 20001, 20237, 20018, 22001, 22844, 23318, 23462, 23549, 23708, 24185, 24629, 26048, 25094, 24939, 25131, 25039, 25202, 25170, 25283, 25770, 27320
16480, 16634, 16655, 16940, 17092, 17425, 17068, 17059, 17255, 17876, 18123, 18001, 18141, 17550, 18450, 18599, 18913, 19358, 19288, 19111, 19587, 20230, 20247, 20272, 19799, 20319, 20276, 21717, 22829, 23249, 23325, 23563, 23999, 24272, 24599, 24329, 24727, 24932, 25377, 24973, 25187, 25343, 25272, 25816, 27372
16957, 16474, 16704, 17110, 17108, 17381, 17043, 16993, 17323, 17766, 17413, 17875, 18065, 17651, 17948, 18531, 18915, 19366, 19508, 19095, 19522, 19841, 20342, 19912, 19934, 20172, 19932, 21273, 22841, 23239, 23376, 23575, 24099, 24189, 24710, 24773, 25308, 25210, 24623, 24973, 25277, 25574, 26300, 25939, 27444
16506, 16843, 16988, 17072, 17142, 17462, 17398, 16688, 17553, 17565, 17426, 17962, 17882, 17738, 17950, 18543, 18519, 19370, 19203, 19174, 19578, 19787, 19836, 19847, 20362, 20196, 20360, 20359, 22874, 23333, 23244, 23579, 23328, 24214, 24897, 24805, 24645, 25007, 24918, 25115, 25219, 25744, 26139, 25865, 27368
17027, 17089, 16901, 17235, 17028, 17049, 17484, 17109, 17072, 17902, 17451, 17512, 17605, 18200, 17968, 18828, 18474, 19771, 19190, 19515, 19820, 20300, 19796, 19864, 19786, 20099, 20589, 21429, 22832, 23354, 23345, 23767, 23865, 24430, 24866, 24877, 24394, 24838, 24882, 25128, 25071, 24933, 25502, 25994, 27400
16849, 16864, 16777, 16705, 16583, 17034, 17047, 17519, 17333, 17519, 17497, 17580, 17713, 17522, 18379, 18543, 18559, 19754, 19608, 19127, 19708, 19813, 20338, 19906, 20394, 20239, 20384, 19971, 22934, 23247, 23344, 23611, 24211, 24159, 24866, 25130, 24843, 24979, 24908, 25240, 25119, 24802, 25932, 25990, 27472
