DoubleCrosser,BackStabber,Fool Me Once,Nice Average Copier,Meta Hunter,Grudger,Davis,Forgetful Fool Me Once,Shubik,Inverse,Inverse Punisher,Forgiver,Retaliate (0.05),Limited Retaliate (0.05/20),Limited Retaliate (0.08/15),Limited Retaliate (0.1/20),Forgetful Grudger,Once Bitten,Retaliate (0.08),Appeaser,Go By Majority:5,ZD-GTFT-2,Go By Majority:20,Retaliate (0.1),Go By Majority:10,Forgiving Tit For Tat,Go By Majority:40,Soft Joss,Math Constant Hunter,Win-Stay Lose-Shift,Generous Tit-For-Tat,Tit For Tat,Meta Majority,Punisher,Go By Majority,Eatherley,Grumpy,Champion,Hard Tit For 2 Tats,Hard Tit For Tat,Two Tits For Tat,Tit For 2 Tats,Average Copier,Hard Prober,Random Hunter,Alternator Hunter,Defector Hunter,Sneaky Tit For Tat,Cooperator,Tester,Prober 3,Prober 2,Opposite Grudger,Feld,Prober,Suspicious Tit For Tat,Meta Minority,Alternator,Tullock,Meta Winner,Tricky Defector,Stochastic WSLS,Joss,Cooperator Hunter,$\pi$,$e$,Calculator,Bully,Grofman,Random,Aggravater,ZD-Extort-2,Defector,$\phi$,Anti Tit For Tat,Tricky Cooperator
2.97613333333,2.93993333333,2.91573333333,2.8806,2.8796,2.8544,2.8592,2.8494,2.80006666667,2.79946666667,2.76346666667,2.76906666667,2.758,2.76093333333,2.76173333333,2.70286666667,2.7198,2.71653333333,2.7376,2.71453333333,2.72346666667,2.7012,2.69306666667,2.71886666667,2.6946,2.6936,2.68253333333,2.70033333333,2.65046666667,2.6792,2.69873333333,2.68806666667,2.6702,2.66993333333,2.66226666667,2.65586666667,2.64633333333,2.64066666667,2.61986666667,2.60506666667,2.61253333333,2.57433333333,2.66006666667,2.42786666667,2.34146666667,2.2472,2.248,2.2442,2.2368,2.18866666667,2.16366666667,2.14973333333,2.14266666667,2.1056,2.10306666667,2.066,2.03546666667,2.05493333333,2.06793333333,2.04393333333,2.0132,2.07266666667,2.0296,2.01306666667,2.00873333333,2.00926666667,1.9922,1.97746666667,1.95473333333,1.8786,1.9016,1.91853333333,1.89306666667,1.88746666667,1.88533333333,1.79933333333
2.97073333333,2.948,2.91266666667,2.8894,2.88286666667,2.8548,2.83393333333,2.83746666667,2.80653333333,2.77273333333,2.76186666667,2.76846666667,2.73613333333,2.76193333333,2.71746666667,2.73326666667,2.71673333333,2.72013333333,2.71,2.6762,2.68313333333,2.695,2.69386666667,2.727,2.6728,2.67406666667,2.69053333333,2.68193333333,2.65513333333,2.67073333333,2.67493333333,2.65493333333,2.65533333333,2.6458,2.656,2.6828,2.653,2.62253333333,2.64906666667,2.63253333333,2.57646666667,2.58826666667,2.3924,2.43693333333,2.33833333333,2.24,2.247,2.24346666667,2.233,2.1776,2.1488,2.15366666667,2.15093333333,2.11246666667,2.07573333333,2.06773333333,2.05773333333,2.0502,2.11093333333,2.04573333333,2.035,2.0008,2.01633333333,1.95686666667,2.00393333333,1.99866666667,1.97566666667,1.98846666667,1.93873333333,1.96566666667,1.9082,1.89486666667,1.89093333333,1.887,1.88033333333,1.7952
2.97933333333,2.9492,2.90706666667,2.88486666667,2.88013333333,2.89086666667,2.8364,2.86253333333,2.7746,2.78853333333,2.74153333333,2.73426666667,2.75946666667,2.76013333333,2.742,2.739,2.71833333333,2.72173333333,2.71493333333,2.6752,2.70413333333,2.6992,2.69826666667,2.69013333333,2.6952,2.70533333333,2.709,2.72066666667,2.69253333333,2.7094,2.67253333333,2.67933333333,2.63746666667,2.66773333333,2.65893333333,2.656,2.65273333333,2.62226666667,2.6128,2.60773333333,2.6096,2.58853333333,2.5562,2.43093333333,2.33146666667,2.2528,2.2518,2.2372,2.2242,2.17733333333,2.18606666667,2.15433333333,2.1482,2.11673333333,2.09333333333,2.07106666667,2.0446,2.05173333333,2.04013333333,2.05,2.01746666667,2.04486666667,2.01273333333,2.0106,2.007,2.00726666667,2.021,1.99313333333,1.9432,1.894,1.90493333333,1.94486666667,1.8888,1.87766666667,1.8746,1.77626666667
2.9544,2.9456,2.91433333333,2.85733333333,2.85673333333,2.86373333333,2.85793333333,2.83633333333,2.80073333333,2.7552,2.7382,2.7438,2.7564,2.76433333333,2.74553333333,2.73186666667,2.71566666667,2.71426666667,2.73753333333,2.71713333333,2.70186666667,2.69113333333,2.71993333333,2.6914,2.6676,2.6556,2.70326666667,2.72573333333,2.69866666667,2.6816,2.71326666667,2.66466666667,2.668,2.6668,2.6604,2.65766666667,2.64966666667,2.6306,2.61166666667,2.61286666667,2.58253333333,2.58686666667,2.4942,2.44286666667,2.34273333333,2.2442,2.2444,2.23793333333,2.2462,2.1732,2.17873333333,2.15286666667,2.1434,2.13113333333,2.1038,2.06306666667,2.05366666667,2.05553333333,2.0346,2.05133333333,2.01986666667,2.02246666667,1.99686666667,2.0092,2.00506666667,2.00126666667,2.04266666667,2.00633333333,1.93213333333,1.89706666667,1.9084,1.9504,1.8944,1.88526666667,1.86893333333,1.80013333333
2.9684,2.95533333333,2.909,2.88633333333,2.88846666667,2.8902,2.8612,2.84286666667,2.80293333333,2.7854,2.7632,2.76086666667,2.7612,2.7314,2.74126666667,2.7314,2.72106666667,2.71846666667,2.73533333333,2.68426666667,2.69946666667,2.72606666667,2.70093333333,2.7022,2.69846666667,2.70913333333,2.68813333333,2.6732,2.65833333333,2.6766,2.71146666667,2.66633333333,2.67693333333,2.66286666667,2.67973333333,2.64593333333,2.63906666667,2.62766666667,2.63466666667,2.63606666667,2.6146,2.58366666667,2.63433333333,2.43286666667,2.32426666667,2.254,2.2408,2.23613333333,2.2326,2.17953333333,2.16393333333,2.15226666667,2.13793333333,2.15386666667,2.06386666667,2.07553333333,2.0574,2.05426666667,2.10253333333,2.04366666667,2.03306666667,2.06833333333,2.02566666667,1.9742,2.00566666667,2.00606666667,1.9986,1.99573333333,1.95,1.97526666667,1.9046,1.88326666667,1.89706666667,1.87946666667,1.88066666667,1.7696
2.9494,2.9504,2.91253333333,2.86693333333,2.884,2.85586666667,2.8588,2.8574,2.8028,2.76266666667,2.77066666667,2.74933333333,2.73566666667,2.76246666667,2.7454,2.73526666667,2.71813333333,2.72426666667,2.70926666667,2.71746666667,2.69626666667,2.72853333333,2.7154,2.69413333333,2.70033333333,2.69306666667,2.71973333333,2.6776,2.6844,2.679,2.715,2.6748,2.64553333333,2.6498,2.67046666667,2.68553333333,2.65033333333,2.64226666667,2.64933333333,2.60466666667,2.60826666667,2.5832,2.55426666667,2.45033333333,2.34593333333,2.2514,2.2546,2.23626666667,2.221,2.1718,2.1808,2.1386,2.13633333333,2.1348,2.08506666667,2.06573333333,2.0662,2.059,2.06293333333,2.04793333333,2.04426666667,2.00493333333,2.02006666667,1.96173333333,1.99953333333,1.99413333333,1.99733333333,2.0012,1.9224,1.93033333333,1.905,1.90566666667,1.8904,1.87693333333,1.88066666667,1.7966
2.96466666667,2.9476,2.913,2.88433333333,2.88213333333,2.88193333333,2.85933333333,2.84353333333,2.80026666667,2.77046666667,2.77313333333,2.726,2.73326666667,2.73573333333,2.74846666667,2.70833333333,2.72073333333,2.7024,2.7044,2.70746666667,2.7198,2.70193333333,2.69706666667,2.69326666667,2.6926,2.69833333333,2.68766666667,2.71773333333,2.68966666667,2.7136,2.65373333333,2.67646666667,2.6708,2.6436,2.6514,2.66313333333,2.661,2.63246666667,2.62206666667,2.6306,2.6184,2.57173333333,2.56113333333,2.44293333333,2.3444,2.2612,2.2594,2.23953333333,2.2328,2.17026666667,2.15686666667,2.1366,2.15746666667,2.14453333333,2.08413333333,2.06573333333,2.02746666667,2.0564,2.02366666667,2.04466666667,2.01753333333,2.003,1.95406666667,2.01026666667,2.0004,2.0022,2.05093333333,1.99566666667,1.95706666667,1.91066666667,1.91713333333,1.85533333333,1.88826666667,1.8804,1.86373333333,1.7908
2.97086666667,2.9472,2.9066,2.86413333333,2.85806666667,2.85866666667,2.86253333333,2.84333333333,2.77326666667,2.75366666667,2.76133333333,2.75793333333,2.73986666667,2.73573333333,2.7472,2.7098,2.6892,2.70453333333,2.7124,2.70326666667,2.72686666667,2.716,2.70773333333,2.71893333333,2.69493333333,2.70366666667,2.697,2.67206666667,2.69873333333,2.71213333333,2.64,2.67633333333,2.66733333333,2.6692,2.6924,2.64566666667,2.65266666667,2.64453333333,2.65,2.63913333333,2.58066666667,2.57013333333,2.4882,2.43593333333,2.34866666667,2.2544,2.2554,2.2018,2.2414,2.17793333333,2.13793333333,2.14273333333,2.13093333333,2.15306666667,2.08713333333,2.06606666667,2.06526666667,2.04433333333,2.0702,2.0588,2.03573333333,1.9526,2.00133333333,2.02133333333,2.0158,1.99813333333,1.9994,2.00413333333,1.94006666667,1.96326666667,1.90513333333,1.89806666667,1.88746666667,1.87493333333,1.8838,1.80566666667
2.9694,2.95133333333,2.91233333333,2.87993333333,2.84946666667,2.85693333333,2.8568,2.8628,2.79886666667,2.77966666667,2.769,2.7406,2.7324,2.7286,2.7608,2.71366666667,2.71806666667,2.70953333333,2.714,2.7114,2.70253333333,2.70353333333,2.68793333333,2.69646666667,2.70633333333,2.66913333333,2.68766666667,2.65073333333,2.66826666667,2.70613333333,2.6368,2.65973333333,2.67686666667,2.66766666667,2.6748,2.6858,2.6556,2.6386,2.62833333333,2.60806666667,2.584,2.5504,2.37013333333,2.40373333333,2.3446,2.2512,2.244,2.2498,2.2416,2.16666666667,2.16266666667,2.1596,2.14353333333,2.14906666667,2.08493333333,2.06853333333,2.06106666667,2.05413333333,2.03873333333,2.0496,2.03166666667,2.011,2.00133333333,1.9656,2.00266666667,1.99726666667,1.99773333333,1.99626666667,1.9406,1.92906666667,1.90113333333,1.92606666667,1.89466666667,1.8914,1.86953333333,1.80753333333
2.9658,2.94526666667,2.90506666667,2.86186666667,2.86133333333,2.86226666667,2.8654,2.8344,2.77506666667,2.7466,2.74133333333,2.75006666667,2.76613333333,2.73346666667,2.72346666667,2.7372,2.71706666667,2.7068,2.72126666667,2.71553333333,2.7348,2.71373333333,2.7088,2.69,2.68633333333,2.69413333333,2.6684,2.69046666667,2.68346666667,2.6716,2.576,2.67193333333,2.6756,2.67053333333,2.654,2.65066666667,2.64013333333,2.64146666667,2.64426666667,2.6432,2.592,2.58593333333,2.37426666667,2.45006666667,2.31806666667,2.2404,2.246,2.2046,2.226,2.15486666667,2.17126666667,2.14933333333,2.14113333333,2.12666666667,2.08106666667,2.0648,2.03333333333,2.04513333333,2.04013333333,2.05053333333,2.03326666667,2.1176,2.03613333333,2.0014,2.00246666667,2.01033333333,1.99506666667,1.99266666667,1.9408,1.98886666667,1.89986666667,1.88173333333,1.89066666667,1.89286666667,1.891,1.8024
