Grudger, Limited Retaliate (0.08/20), Retaliate (0.08), Limited Retaliate (0.1/25), Limited Retaliate (0.1/20), Retaliate (0.12), Retaliate (0.1), Forgetful Grudger, Forgiver, Appeaser, Inverse Punisher, Punisher, Two Tits For Tat, Once Bitten, Tit For Tat, Forgiving Tit For Tat, Grumpy, Go By Majority/5, Go By Majority/20, Go By Majority/10, Go By Majority/40, Inverse, Tit For 2 Tats, Go By Majority, Average Copier, e, Pi, Alternator, Golden, Cooperator, Arrogant QLearner, Cautious QLearner, Risky QLearner, Hesitant QLearner, Anti Tit For Tat, Opposite Grudger, Tricky Defector, Random, Tricky Cooperator, Defector
14274, 14267, 14816, 15140, 14707, 14906, 14671, 15024, 15369, 15373, 14861, 16041, 16556, 16495, 16906, 16950, 17562, 17614, 18133, 17786, 17791, 18355, 17957, 17761, 18507, 19550, 19830, 20050, 20247, 20526, 22376, 21249, 21587, 22009, 21683, 21676, 21839, 21741, 22431, 24428
14282, 14819, 14823, 14720, 14642, 15154, 14648, 14636, 14971, 15375, 15755, 15688, 16602, 16483, 16875, 16980, 17571, 17666, 17737, 17766, 17721, 18205, 18005, 18116, 17771, 19525, 19846, 20088, 20282, 20553, 21396, 21201, 22112, 21374, 21781, 21728, 21986, 21839, 22566, 24404
14180, 14568, 14256, 14734, 14772, 14782, 15003, 15166, 15204, 15199, 15550, 15682, 16220, 16456, 16900, 16955, 17505, 17639, 17758, 17761, 18126, 18005, 18047, 17686, 17430, 19552, 19790, 20118, 20225, 20502, 21504, 21685, 22359, 21841, 21838, 21666, 21955, 22975, 22565, 24416
14258, 14761, 14450, 14605, 14606, 15213, 14672, 14700, 14976, 15343, 15642, 15947, 16605, 16438, 16894, 17327, 17547, 17651, 18127, 17737, 17709, 18251, 18006, 18085, 18602, 19446, 19800, 20097, 20252, 20526, 21722, 21919, 21805, 22292, 21822, 21694, 21999, 22851, 22546, 24460
14230, 14193, 14428, 15109, 14685, 14865, 15087, 15006, 14976, 16020, 15320, 16095, 16171, 16440, 16860, 17400, 17538, 17657, 17671, 17739, 18150, 17967, 18014, 18051, 17427, 19465, 19851, 20070, 20291, 20469, 21440, 21413, 21561, 21826, 21768, 21833, 21973, 22017, 22495, 24476
14725, 14523, 14712, 14659, 14651, 14755, 14715, 14724, 15376, 15384, 15005, 16048, 16201, 16491, 17291, 17361, 17532, 17668, 17695, 18158, 18035, 18085, 17996, 17838, 18991, 19486, 19804, 20097, 20199, 20502, 21262, 21390, 21484, 21513, 21777, 21872, 21867, 22486, 22496, 24356
14302, 14342, 14906, 14683, 14779, 14800, 14667, 14606, 14894, 15249, 15784, 16179, 16188, 16410, 17286, 16961, 17376, 17282, 18116, 17763, 18038, 17716, 17989, 17720, 18134, 19499, 19826, 20044, 20183, 20475, 21295, 21473, 22194, 21341, 21772, 21680, 21840, 23478, 22615, 24436
14527, 14726, 14733, 15046, 15063, 15370, 15038, 14731, 15231, 15828, 15364, 16049, 16596, 16451, 16882, 17331, 17574, 17632, 17704, 17716, 17710, 17964, 18066, 17693, 20024, 19409, 19801, 20089, 20240, 20487, 21940, 21589, 21715, 21590, 21850, 21643, 21748, 22063, 22644, 24480
14258, 14342, 14337, 15054, 14719, 14858, 14647, 14993, 14923, 15340, 15609, 16017, 16616, 16533, 16872, 16931, 17402, 17275, 18133, 17761, 18100, 17916, 17982, 17924, 16611, 19517, 19930, 20074, 20160, 20487, 21680, 21390, 21985, 21685, 21851, 21891, 21965, 21925, 22551, 24416
14525, 14718, 14885, 15124, 14680, 14828, 14700, 14818, 14928, 15734, 16081, 15631, 16212, 16453, 16909, 17374, 17544, 17662, 17749, 18157, 18104, 17952, 18002, 18115, 18924, 19500, 19782, 20024, 20256, 20505, 21698, 21321, 21424, 21601, 21813, 21854, 21839, 22032, 22453, 24444
14631, 14374, 14874, 14746, 15042, 14859, 15056, 15027, 14964, 15923, 15258, 16008, 16588, 16495, 17271, 16984, 17571, 17658, 18095, 18138, 17698, 18676, 18026, 18301, 20150, 19486, 19923, 20064, 20299, 20532, 21619, 21315, 22165, 21600, 21792, 21872, 21864, 21562, 22493, 24464
14479, 14288, 14252, 14697, 15065, 14811, 15127, 14960, 14952, 15683, 15423, 16025, 16619, 16534, 17306, 17354, 17604, 17269, 17761, 18175, 18085, 18052, 17996, 18184, 18864, 19472, 19866, 20058, 20281, 20472, 21934, 21384, 21473, 21863, 21791, 21910, 21988, 22637, 22525, 24432
14296, 14848, 14541, 14669, 15110, 14711, 14788, 15311, 14976, 15867, 15774, 15624, 16176, 16456, 17284, 16944, 17437, 17239, 18086, 17747, 18080, 18049, 18011, 18104, 17784, 19448, 19870, 20020, 20264, 20535, 21367, 21925, 21064, 21392, 21755, 21880, 22029, 23109, 22619, 24440
14535, 14712, 14731, 14646, 14715, 14834, 15141, 15178, 15189, 15898, 15163, 16093, 16608, 16526, 16870, 17346, 17330, 17270, 17660, 17777, 18016, 17635, 17985, 18285, 18936, 19518, 19822, 20078, 20225, 20547, 21135, 21470, 22129, 21492, 21798, 21662, 21977, 23092, 22538, 24416
14657, 14408, 14667, 15159, 15168, 14870, 15060, 14621, 15335, 15352, 15750, 15656, 16222, 16423, 16907, 16990, 17559, 17243, 17671, 18193, 17689, 17871, 18061, 17938, 17251, 19520, 19888, 20099, 20302, 20505, 21330, 21469, 21349, 21624, 21759, 21890, 21946, 21624, 22473, 24360
14643, 14332, 14699, 14806, 14723, 14820, 14978, 15173, 15279, 15686, 15630, 15839, 16596, 16486, 17302, 16973, 17413, 17304, 18108, 18168, 18156, 18319, 18010, 18292, 19784, 19491, 19855, 20042, 20149, 20475, 21596, 21643, 22135, 21093, 21797, 21849, 21713, 21859, 22566, 24440
